date,new_cases,cum_cases,new_death,cum_death,new_recovered,cum_recovered,cum_active_cases
2020-01-30,1,1,0,0,0,0,1
2020-01-31,0,1,0,0,0,0,1
2020-02-01,0,1,0,0,0,0,1
2020-02-02,1,2,0,0,0,0,2
2020-02-03,1,3,0,0,0,0,3
2020-02-04,0,3,0,0,0,0,3
2020-02-05,0,3,0,0,0,0,3
2020-02-06,0,3,0,0,0,0,3
2020-02-07,0,3,0,0,0,0,3
2020-02-08,0,3,0,0,0,0,3
2020-02-09,0,3,0,0,0,0,3
2020-02-10,0,3,0,0,0,0,3
2020-02-11,0,3,0,0,0,0,3
2020-02-12,0,3,0,0,0,0,3
2020-02-13,0,3,0,0,1,1,2
2020-02-14,0,3,0,0,0,1,2
2020-02-15,0,3,0,0,0,1,2
2020-02-16,0,3,0,0,1,2,1
2020-02-17,0,3,0,0,0,2,1
2020-02-18,0,3,0,0,0,2,1
2020-02-19,0,3,0,0,0,2,1
2020-02-20,0,3,0,0,1,3,0
2020-02-21,0,3,0,0,0,3,0
2020-02-22,0,3,0,0,0,3,0
2020-02-23,0,3,0,0,0,3,0
2020-02-24,0,3,0,0,0,3,0
2020-02-25,0,3,0,0,0,3,0
2020-02-26,0,3,0,0,0,3,0
2020-02-27,0,3,0,0,0,3,0
2020-02-28,0,3,0,0,0,3,0
2020-02-29,0,3,0,0,0,3,0
2020-03-01,0,3,0,0,0,3,0
2020-03-02,2,5,0,0,0,3,2
2020-03-03,1,6,0,0,0,3,3
2020-03-04,22,28,0,0,0,3,25
2020-03-05,2,30,0,0,0,3,27
2020-03-06,1,31,0,0,0,3,28
2020-03-07,3,34,0,0,0,3,31
2020-03-08,5,39,0,0,0,3,36
2020-03-09,9,48,0,0,0,3,45
2020-03-10,15,63,0,0,1,4,59
2020-03-11,8,71,0,0,0,4,67
2020-03-12,10,81,1,1,0,4,76
2020-03-13,10,91,0,1,6,10,80
2020-03-14,11,102,1,2,0,10,90
2020-03-15,10,112,0,2,3,13,97
2020-03-16,14,126,0,2,1,14,110
2020-03-17,20,146,1,3,1,15,128
2020-03-18,25,171,0,3,0,15,153
2020-03-19,27,198,1,4,5,20,174
2020-03-20,58,256,0,4,3,23,229
2020-03-21,78,334,0,4,0,23,307
2020-03-22,69,403,3,7,0,23,373
2020-03-23,94,497,2,9,2,25,463
2020-03-24,74,571,1,10,15,40,521
2020-03-25,86,657,1,11,3,43,603
2020-03-26,73,730,5,16,7,50,664
2020-03-27,153,883,3,19,25,75,789
2020-03-28,136,1019,5,24,10,85,910
2020-03-29,120,1139,3,27,17,102,1010
2020-03-30,187,1326,14,41,35,137,1148
2020-03-31,309,1635,6,47,13,150,1438
2020-04-01,424,2059,6,53,19,169,1837
2020-04-02,486,2545,16,69,22,191,2285
2020-04-03,560,3105,14,83,39,230,2792
2020-04-04,579,3684,13,96,56,286,3302
2020-04-05,609,4293,22,118,43,329,3846
2020-04-06,484,4777,16,134,65,394,4249
2020-04-07,573,5350,27,161,75,469,4720
2020-04-08,565,5915,20,181,96,565,5169
2020-04-09,813,6728,46,227,70,635,5866
2020-04-10,871,7599,22,249,151,786,6564
2020-04-11,854,8453,41,290,186,972,7191
2020-04-12,758,9211,42,332,114,1086,7793
2020-04-13,1243,10454,27,359,112,1198,8897
2020-04-14,1031,11485,37,396,167,1365,9724
2020-04-15,886,12371,27,423,144,1509,10439
2020-04-16,1061,13432,26,449,258,1767,11216
2020-04-17,922,14354,38,487,273,2040,11827
2020-04-18,1371,15725,35,522,426,2466,12737
2020-04-19,1580,17305,38,560,388,2854,13891
2020-04-20,1239,18544,33,593,419,3273,14678
2020-04-21,1537,20081,53,646,703,3976,15459
2020-04-22,1292,21373,36,682,394,4370,16321
2020-04-23,1667,23040,40,722,642,5012,17306
2020-04-24,1408,24448,59,781,484,5496,18171
2020-04-25,1835,26283,44,825,442,5938,19520
2020-04-26,1607,27890,56,881,585,6523,20486
2020-04-27,1568,29458,58,939,580,7103,21416
2020-04-28,1902,31360,69,1008,636,7739,22613
2020-04-29,1705,33065,71,1079,690,8429,23557
2020-04-30,1801,34866,75,1154,630,9059,24653
2020-05-01,2396,37262,77,1231,962,10021,26010
2020-05-02,2564,39826,92,1323,831,10852,27651
2020-05-03,2952,42778,140,1463,911,11763,29552
2020-05-04,3656,46434,103,1566,1082,12845,32023
2020-05-05,2971,49405,128,1694,1295,14140,33571
2020-05-06,3602,53007,91,1785,1161,15301,35921
2020-05-07,3344,56351,104,1889,1475,16776,37686
2020-05-08,3339,59690,97,1986,1111,17887,39817
2020-05-09,3175,62865,115,2101,1414,19301,41463
2020-05-10,4311,67176,112,2213,1669,20970,43993
2020-05-11,3592,70768,81,2294,1579,22549,45925
2020-05-12,3562,74330,120,2414,1905,24454,47462
2020-05-13,3726,78056,137,2551,1963,26417,49088
2020-05-14,3991,82047,97,2648,1594,28011,51388
2020-05-15,3808,85855,104,2752,2234,30245,52858
2020-05-16,4794,90649,120,2872,4012,34257,53520
2020-05-17,5049,95698,152,3024,2538,36795,55879
2020-05-18,4628,100326,131,3155,2482,39277,57894
2020-05-19,6154,106480,146,3301,3032,42309,60870
2020-05-20,5720,112200,134,3435,3113,45422,63343
2020-05-21,6023,118223,148,3583,3131,48553,66087
2020-05-22,6536,124759,142,3725,3280,51833,69201
2020-05-23,6667,131424,142,3867,2576,54409,73148
2020-05-24,7111,138537,156,4023,3285,57694,76820
2020-05-25,6414,144951,150,4173,3012,60706,80072
2020-05-26,5907,150858,173,4346,3585,64291,82221
2020-05-27,7246,158104,188,4534,3434,67725,85845
2020-05-28,7254,165358,176,4710,3171,70896,89752
2020-05-29,8138,173496,269,4979,11735,82631,85886
2020-05-30,8364,181860,205,5184,4303,86934,89742
2020-05-31,8789,190649,222,5406,4928,91862,93381
2020-06-01,7723,198372,201,5607,3882,95744,97021
2020-06-02,8812,207187,222,5829,4531,100275,101083
2020-06-03,9689,216876,259,6088,3789,104064,106724
