date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred
2021-01-15,0,0,,,,0,0
2021-01-16,191181,191181,,191181,191181,0.01,0.01
2021-01-17,224301,224301,,33120,112150,0.02,0.02
2021-01-18,454049,454049,,229748,151350,0.03,0.03
2021-01-19,674835,674835,,220786,168709,0.05,0.05
2021-01-20,806484,806484,,131649,161297,0.06,0.06
2021-01-21,1043534,1043534,,237050,173922,0.07,0.07
2021-01-22,1390592,1390592,,347058,198656,0.1,0.1
2021-01-23,1582201,1582201,,191609,198717,0.11,0.11
2021-01-24,1615504,1615504,,33303,198743,0.12,0.12
2021-01-25,2023809,2023809,,408305,224251,0.15,0.15
2021-01-26,2029480,2029480,,5671,193521,0.15,0.15
2021-01-27,2355979,2355979,,326499,221356,0.17,0.17
2021-01-28,2928053,2928053,,572074,269217,0.21,0.21
2021-01-29,3500027,3500027,,571974,301348,0.25,0.25
2021-01-30,3744334,3744334,,244307,308876,0.27,0.27
2021-01-31,3758843,3758843,,14509,306191,0.27,0.27
2021-02-01,3950156,3950156,,191313,275192,0.28,0.28
2021-02-02,4138918,4138918,,188762,301348,0.3,0.3
2021-02-03,4449552,4449552,,310634,299082,0.32,0.32
2021-02-04,4959445,4959445,,509893,290199,0.36,0.36
2021-02-05,5416849,5416849,,457404,273832,0.39,0.39
2021-02-06,5775322,5775322,,358473,290141,0.41,0.41
2021-02-07,5812362,5812362,,37040,293360,0.42,0.42
2021-02-08,6259008,6259008,,446646,329836,0.45,0.45
2021-02-09,6611561,6611561,,352553,353235,0.47,0.47
2021-02-10,7017114,7017114,,405553,366795,0.5,0.5
2021-02-11,7505010,7505010,,487896,363652,0.54,0.54
2021-02-12,7967647,7967647,,462637,364400,0.57,0.57
2021-02-13,8052454,8044786,7668,84807,325305,0.58,0.58
2021-02-14,,,,,353179,,
2021-02-15,8516771,8418653,98118,,322538,0.61,0.6
2021-02-16,8857341,8641002,216339,340570,320826,0.64,0.62
2021-02-17,9186757,8844641,342116,329416,309949,0.66,0.63
2021-02-18,9846523,9381591,464932,659766,334502,0.71,0.67
2021-02-19,10449942,9693000,756942,603419,354614,0.75,0.7
2021-02-20,10838323,9964383,873940,388381,397981,0.78,0.72
2021-02-21,11085173,10124531,960642,246850,400080,0.8,0.73
2021-02-22,11424094,10308552,1115542,338921,415332,0.82,0.74
2021-02-23,11907392,10585757,1321635,483298,435722,0.85,0.76
2021-02-24,12366633,10884879,1481754,459241,454268,0.89,0.78
2021-02-25,13067047,11206188,1860859,700414,460075,0.94,0.8
2021-02-26,13756940,11552857,2204083,689893,472428,0.99,0.83
2021-02-27,14242547,11788669,2453878,485607,486318,1.02,0.85
2021-02-28,14301266,11845075,2456191,58719,459442,1.03,0.85
2021-03-01,14854136,12256337,2597799,552870,490006,1.07,0.88
2021-03-02,15620749,12906771,2713978,766613,530480,1.12,0.93
2021-03-03,16616048,13739121,2876927,995299,607059,1.19,0.99
2021-03-04,18005503,14796835,3208668,1389455,705494,1.29,1.06
2021-03-05,19497704,15996683,3501021,1492201,820109,1.4,1.15
2021-03-06,20922344,17168303,3754041,1424640,954257,1.5,1.23
2021-03-07,20989010,17227903,3761107,66666,955392,1.51,1.24
2021-03-08,23008733,18943283,4065450,2019723,1164942,1.65,1.36
2021-03-09,24367906,20004227,4363679,1359173,1249594,1.75,1.44
2021-03-10,25685011,21034481,4650530,1317105,1295566,1.84,1.51
2021-03-11,26164920,21435841,4729079,479909,1165631,1.88,1.54
2021-03-12,28218457,23075504,5142953,2053537,1245822,2.03,1.66
2021-03-13,29738409,24307635,5430774,1519952,1259438,2.13,1.74
2021-03-14,29908038,24452385,5455653,169629,1274147,2.15,1.75
2021-03-15,32947432,27079484,5867948,3039394,1419814,2.36,1.94
2021-03-16,35064536,28862037,6202499,2117104,1528090,2.52,2.07
2021-03-17,37143255,30600787,6542468,2078719,1636892,2.67,2.2
2021-03-18,39339817,32426230,6913587,2196562,1882128,2.82,2.33
2021-03-19,42063392,34842030,7221362,2723575,1977848,3.02,2.5
2021-03-20,44603841,37125187,7478654,2540449,2123633,3.2,2.66
2021-03-21,45065998,37574302,7491696,462157,2165423,3.23,2.7
2021-03-22,48494594,40631153,7863441,3428596,2221023,3.48,2.92
2021-03-23,50841286,42731952,8109334,2346692,2253821,3.65,3.07
2021-03-24,53145709,44846538,8299171,2304423,2286065,3.81,3.22
2021-03-25,55504440,47001472,8502968,2358731,2309232,3.98,3.37
2021-03-26,58109773,49426618,8683155,2605333,2292340,4.17,3.55
2021-03-27,60269782,51441436,8828346,2160009,2237992,4.33,3.69
2021-03-28,60530435,51660234,8870201,260653,2209205,4.34,3.71
2021-03-29,61113354,52211398,8901956,582919,1802680,4.39,3.75
2021-03-30,63054353,53989035,9065318,1940999,1744724,4.53,3.87
2021-03-31,65117896,55783201,9334695,2063543,1710312,4.67,4
2021-04-01,68789138,59148798,9640340,3671242,1897814,4.94,4.24
2021-04-02,73054295,63081589,9972706,4265157,2134932,5.24,4.53
2021-04-03,75979651,65739470,10240181,2925356,2244267,5.45,4.72
2021-04-04,79105163,68678838,10426325,3125512,2653533,5.68,4.93
2021-04-05,83110926,72277309,10833617,4005763,3142510,5.96,5.19
2021-04-06,87077474,75937015,11140459,3966548,3431874,6.25,5.45
2021-04-07,90198673,78763027,11435646,3121199,3582968,6.47,5.65
2021-04-08,94334262,82456522,11877740,4135589,3649303,6.77,5.92
2021-04-09,98075160,85763852,12311308,3740898,3574409,7.04,6.15
2021-04-10,101595147,88885961,12709186,3519987,3659357,7.29,6.38
